Jour,Éolienne,Photovoltaïque
,Énergie (GWh),Énergie (GWh)
01.01.2021,0.12686,0.76329
02.01.2021,0.02988,0.51286
03.01.2021,0.0528,0.50302
04.01.2021,0.06519,0.70653
05.01.2021,0.01539,0.45312
06.01.2021,0.01458,0.37068
07.01.2021,0.03188,1.12385
08.01.2021,0.04329,1.568
09.01.2021,0.62048,1.76592
10.01.2021,0.78976,2.06003
11.01.2021,0.26463,1.96694
12.01.2021,0.83981,0.49152
13.01.2021,0.65401,0.82524
14.01.2021,0.85611,0.42333
15.01.2021,0.31818,0.30496
16.01.2021,0.34881,0.60808
17.01.2021,0.4998,0.2288
18.01.2021,0.11729,0.91596
19.01.2021,0.98034,1.45175
20.01.2021,1.22478,1.14372
21.01.2021,1.17785,1.04741
22.01.2021,0.76073,1.51649
23.01.2021,0.76232,1.72969
24.01.2021,0.5248,3.05967
25.01.2021,0.66768,0.51036
26.01.2021,0.22335,0.89898
27.01.2021,0.66728,0.25153
28.01.2021,1.05191,0.56548
29.01.2021,1.10348,1.75728
30.01.2021,0.79928,1.02133
31.01.2021,0.21828,2.11586
01.02.2021,0.77412,1.38864
02.02.2021,1.06027,1.78309
03.02.2021,1.21401,1.07258
04.02.2021,0.48034,2.99009
05.02.2021,0.53393,3.87304
06.02.2021,0.46638,1.46662
07.02.2021,0.71342,1.17481
08.02.2021,0.43162,4.07277
09.02.2021,0.19553,1.2789
10.02.2021,0.39616,0.73547
11.02.2021,0.24509,1.35147
12.02.2021,0.73898,0.86224
13.02.2021,0.85558,1.08025
14.02.2021,0.88568,2.69052
15.02.2021,0.66065,2.25366
16.02.2021,0.79123,4.50983
17.02.2021,0.38795,5.89408
18.02.2021,1.06366,4.54676
19.02.2021,0.43772,5.99256
20.02.2021,0.85828,7.57591
21.02.2021,0.58719,7.91025
22.02.2021,0.43287,5.47986
23.02.2021,0.12055,6.95756
24.02.2021,0.30263,7.1987
25.02.2021,0.2772,8.09312
26.02.2021,0.21461,6.67683
